Company Name,Sector,Capitalization
AAK,Consumer Staples,Large Cap
ABB Ltd,Industrials,Large Cap
AddLife,Health Care,Large Cap
Addnode Group,Technology,Large Cap
Addtech,Industrials,Large Cap
AFRY,Industrials,Large Cap
Alfa Laval,Industrials,Large Cap
Alleima,Basic Materials,Large Cap
Arion Banki,Financials,Large Cap
Asker Healthcare Group,Health Care,Large Cap
Asmodee Group,Consumer Discretionary,Large Cap
ASSA ABLOY,Industrials,Large Cap
AstraZeneca,Health Care,Large Cap
Atlas Copco,Industrials,Large Cap
Atrium Ljungberg,Real Estate,Large Cap
Autoliv,Consumer Discretionary,Large Cap
Avanza Bank Holding,Financials,Large Cap
Axfood,Consumer Staples,Large Cap
Beijer Ref,Industrials,Large Cap
Betsson,Consumer Discretionary,Large Cap
Better Collective,Technology,Large Cap
Bilia,Consumer Discretionary,Large Cap
Billerud,Basic Materials,Large Cap
BioArctic,Health Care,Large Cap
Biotage,Health Care,Large Cap
Boliden,Basic Materials,Large Cap
BONESUPPORT HOLDING,Health Care,Large Cap
Bravida Holding,Industrials,Large Cap
Bure Equity,Financials,Large Cap
Camurus,Health Care,Large Cap
Castellum,Real Estate,Large Cap
Catena,Real Estate,Large Cap
Corem Property Group,Real Estate,Large Cap
Dometic Group,Consumer Discretionary,Large Cap
Electrolux,Consumer Discretionary,Large Cap
Electrolux Professional,Industrials,Large Cap
Elekta,Health Care,Large Cap
Embracer Group,Consumer Discretionary,Large Cap
engcon,Industrials,Large Cap
Epiroc,Industrials,Large Cap
EQT,Financials,Large Cap
Ericsson,Telecommunications,Large Cap
Essity,Consumer Staples,Large Cap
Evolution,Consumer Discretionary,Large Cap
Fabege,Real Estate,Large Cap
Fast. Balder,Real Estate,Large Cap
Fastpartner,Real Estate,Large Cap
Fenix Outdoor International,Consumer Discretionary,Large Cap
Fortnox,Technology,Large Cap
Getinge,Health Care,Large Cap
Gränges,Basic Materials,Large Cap
Hemnet Group,Real Estate,Large Cap
Hennes & Mauritz,Consumer Discretionary,Large Cap
Hexagon,Technology,Large Cap
HEXPOL,Basic Materials,Large Cap
HMS Networks,Telecommunications,Large Cap
Holmen,Basic Materials,Large Cap
Hufvudstaden,Real Estate,Large Cap
Husqvarna,Consumer Discretionary,Large Cap
Industrivärden,Financials,Large Cap
Indutrade,Industrials,Large Cap
International Petroleum Corp.,Energy,Large Cap
Investor,Financials,Large Cap
JM,Consumer Discretionary,Large Cap
Kinnevik,Financials,Large Cap
Lagercrantz Group,Technology,Large Cap
Latour,Financials,Large Cap
Lifco,Industrials,Large Cap
Lindab International,Industrials,Large Cap
Loomis,Industrials,Large Cap
Lundbergföretagen,Financials,Large Cap
Lundin Gold,Basic Materials,Large Cap
Lundin Mining Corporation,Basic Materials,Large Cap
Medicover,Health Care,Large Cap
Mips,Consumer Discretionary,Large Cap
Munters Group,Industrials,Large Cap
Mycronic,Technology,Large Cap
NCAB Group,Technology,Large Cap
NCC,Industrials,Large Cap
New Wave,Consumer Discretionary,Large Cap
NIBE Industrier,Industrials,Large Cap
Nolato,Industrials,Large Cap
Nordea Bank Abp,Financials,Large Cap
Nordnet,Financials,Large Cap
NP3 Fastigheter,Real Estate,Large Cap
Nyfosa,Real Estate,Large Cap
OEM International,Industrials,Large Cap
Pandox,Real Estate,Large Cap
Peab,Industrials,Large Cap
SAAB,Industrials,Large Cap
Sagax,Real Estate,Large Cap
Sampo Oyj,Financials,Large Cap
Sandvik,Industrials,Large Cap
SCA,Basic Materials,Large Cap
SEB,Financials,Large Cap
SECTRA,Health Care,Large Cap
Securitas,Industrials,Large Cap
Sinch,Technology,Large Cap
Skanska,Industrials,Large Cap
SKF,Basic Materials,Large Cap
SSAB,Basic Materials,Large Cap
Stora Enso,Basic Materials,Large Cap
Storskogen Group,Financials,Large Cap
Sv. Handelsbanken,Financials,Large Cap
SWECO,Industrials,Large Cap
Swedbank,Financials,Large Cap
Swedish Orphan Biovitrum,Health Care,Large Cap
Systemair,Industrials,Large Cap
Tele2,Telecommunications,Large Cap
Telia Company,Telecommunications,Large Cap
Thule Group,Consumer Discretionary,Large Cap
TietoEVRY Oyj,Technology,Large Cap
TRATON,Industrials,Large Cap
Trelleborg,Industrials,Large Cap
Troax Group,Basic Materials,Large Cap
Truecaller,Technology,Large Cap
Vimian Group,Health Care,Large Cap
Vitec Software Group,Technology,Large Cap
Vitrolife,Health Care,Large Cap
Volvo,Industrials,Large Cap
Volvo Car,Consumer Discretionary,Large Cap
Wallenstam,Real Estate,Large Cap
Wihlborgs Fastigheter,Real Estate,Large Cap
Yubico,Technology,Large Cap
AcadeMedia,Consumer Discretionary,Mid Cap
Africa Oil,Energy,Mid Cap
Alimak Group,Industrials,Mid Cap
Alligo,Consumer Discretionary,Mid Cap
Ambea,Health Care,Mid Cap
Apotea,Consumer Staples,Mid Cap
AQ Group,Industrials,Mid Cap
Arctic Paper,Basic Materials,Mid Cap
Arise,Utilities,Mid Cap
Arjo,Health Care,Mid Cap
Attendo,Health Care,Mid Cap
Bactiguard Holding,Health Care,Mid Cap
Beijer Alma,Basic Materials,Mid Cap
Bergman & Beving,Industrials,Mid Cap
BHG Group,Consumer Discretionary,Mid Cap
BICO Group,Health Care,Mid Cap
BioGaia,Health Care,Mid Cap
BioInvent International,Health Care,Mid Cap
Bonava,Consumer Discretionary,Mid Cap
Boozt,Consumer Discretionary,Mid Cap
Brinova Fastigheter,Real Estate,Mid Cap
BTS Group,Industrials,Mid Cap
Bufab,Industrials,Mid Cap
Byggmax Group,Consumer Discretionary,Mid Cap
Byggmästare A J Ahlström H,Industrials,Mid Cap
Catella,Financials,Mid Cap
Cavotec,Industrials,Mid Cap
CellaVision,Health Care,Mid Cap
Cibus Nordic Real Estate,Real Estate,Mid Cap
Cinclus Pharma Holding,Health Care,Mid Cap
Cint Group,Technology,Mid Cap
Clas Ohlson,Consumer Discretionary,Mid Cap
Cloetta,Consumer Staples,Mid Cap
CoinShares International,Financials,Mid Cap
Coor Service Management Hold.,Industrials,Mid Cap
Creades,Financials,Mid Cap
CTT Systems,Industrials,Mid Cap
Diös Fastigheter,Real Estate,Mid Cap
Duni,Consumer Staples,Mid Cap
Dustin Group,Technology,Mid Cap
Dynavox Group,Technology,Mid Cap
Eastnine,Real Estate,Mid Cap
Elanders,Industrials,Mid Cap
Enea,Technology,Mid Cap
Eolus Vind,Energy,Mid Cap
Ependion,Industrials,Mid Cap
Ework Group,Industrials,Mid Cap
Fagerhult Group,Industrials,Mid Cap
Fasadgruppen Group,Industrials,Mid Cap
Fastighetsbolag. Emilshus,Real Estate,Mid Cap
Fastighetsbolaget Emilshus,Real Estate,Mid Cap
Flerie,Financials,Mid Cap
FM Mattsson,Industrials,Mid Cap
Genova Property Group,Real Estate,Mid Cap
Gentoo Media,Consumer Discretionary,Mid Cap
Green Landscaping Group,Industrials,Mid Cap
Gruvaktiebolaget Viscaria,Basic Materials,Mid Cap
Hansa Biopharma,Health Care,Mid Cap
HANZA,Industrials,Mid Cap
HEBA,Real Estate,Mid Cap
Hexatronic Group,Telecommunications,Mid Cap
